Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti
EKR001591112019,,,Debreceni Egyetem,15329750409,Nem,Nem,U - Egyéb típus:,KL - Oktatás,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,DEK-801_Képalkotó és sejtszámláló beszerzése,Árubeszerzés,3997800.0,HUF,38000000-5,38000000-5|38434550-6,HU321,Igen,Nem,Igen,Igen,Igen,,2020-02-18,1.0,Nem,Bio-Rad Magyarország Kereskedelmi Korlátolt Felelősségű Társaság,"13058199242,HU 13058199",HUN_1082_Budapest_Futó Utca 47-53.,Igen,,HUF,3997800.0,HUF,Nem,,,Nem,Nem,Nincs adat,3072/2020,,2020-02-27,Tájékoztató az eljárás eredményéről,-9 days,429,Debreceni Egyetem,Bio-Rad Magyarország Kereskedelmi Korlátolt Felelősségű Társaság
EKR001605752019,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,"Nyomógombok,egyéb alkatrészek villamos járművekhez",Árubeszerzés,195933700.0,HUF,31681400-7,31681400-7,HU110,Igen,Nem,Igen,Nem,Igen,,2020-05-28,3.0,Nem,BUDAKER Kereskedelmi Gyártó és Szolgáltató Korlátolt Felelősségű Társaság,12248885243,HUN_1222_Budapest_Méz Utca 11.,Igen,311000000.0,HUF,195933700.0,HUF,Nem,,,Nem,Nem,Nincs adat,9884/2020,2020/S 114-277640,2020-06-17,Tájékoztató az eljárás eredményéről,-20 days,588,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,BUDAKER Kereskedelmi Gyártó és Szolgáltató Korlátolt Felelősségű Társaság
EKR000081492018,,,Semmelweis Egyetem,15329808242,Nem,Nem,N - Központi szintű,KL - Oktatás,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,C-ívvel ellátott sebészeti képerősítő berendezés,Árubeszerzés,18000000.0,HUF,33110000-4,33110000-4,HU110,Igen,Nem,Igen,Nem,Igen,,2018-09-20,1.0,Nem,Premier G. Med Kft.,"12179295241,HU12179295",HUN_1026_Budapest_Hidász Utca  1. ,Nem,,HUF,18000000.0,HUF,Nem,,"GE Hungary Kft. székhelye: 1044 Budapest, Váci út 77. Adószáma: 13113267-2-44 M3) alkalmassági követelmény (1 fő szervizmérnök biztosítása)",Nem,Nem,Nincs adat,17530/2018,,2018-10-01,Tájékoztató az eljárás eredményéről,-11 days,845,Semmelweis Egyetem,Premier G. Med Kft.
EKR000470722018,,,Semmelweis Egyetem,15329808242,Nem,Nem,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Hirdetmény közzététele nélküli tárgyalásos eljárás,BF-1T180 Terápiás videobronchoszkóp beszerzése,Árubeszerzés,6500000.0,HUF,33100000-1,33100000-1,HU110,Nem,Nem,Igen,Nem,Igen,,2018-10-30,1.0,Nem,Anamed Kft.,"10737956242,HU10737956",HUN_1144_Budapest_Kőszeg  Utca 29. ,Igen,7474000.0,HUF,6500000.0,HUF,Nem,,,Nem,Nem,Nincs adat,20295/2018,2018/S 218-498919,2018-11-14,Tájékoztató az eljárás eredményéről,-15 days,885,Semmelweis Egyetem,Anamed Kft.
EKR001659342019,,,Semmelweis Egyetem,15329808242,Nem,Nem,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,CT berendezések beszerzése,Árubeszerzés,342888000.0,HUF,33115100-0,33115100-0,HU110,Igen,Nem,Igen,Nem,Igen,,2020-07-29,3.0,Nem,Bluemed Plusz Korlátolt Felelősségű Társaság,"26231208207,HU26231208,07-09-028627",HUN_2091_Etyek_Liliom Köz 2.,Igen,,HUF,342888000.0,HUF,Nem,ajánlattételkor nem ismert,"M1.) és M2.) alkalmassági követelmény: Philips Magyarország Kft. (10272031-2-44, ); M1.) alkalmassági követelmény: PHILIPS Medical Systems Nederland B.V. (NL009076840B01)",Nem,Nem,Nincs adat,14109/2020,2020/S 152-370599,2020-08-06,Tájékoztató az eljárás eredményéről,-8 days,893,Semmelweis Egyetem,Bluemed Plusz Korlátolt Felelősségű Társaság
EKR000475082018,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Hirdetménnyel induló tárgyalásos eljárás,Villamos energia beszerzése,Árubeszerzés,7236674000.0,HUF,09310000-5,09310000-5,HU110,Nem,Nem,Igen,Nem,Igen,,2018-12-28,3.0,Nem,ELMŰ-ÉMÁSZ Energiakereskedő Korlátolt Felelősségű Társaság,"12928130244,HU12928130",HUN_1132_Budapest_Váci út 72-74. ,Nem,6597500000.0,HUF,7236674000.0,HUF,Nem,,,Nem,Nem,Nincs adat,0552/2019,2019/S 012-025132,2019-01-17,Tájékoztató az eljárás eredményéről,-20 days,923,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,ELMŰ-ÉMÁSZ Energiakereskedő Korlátolt Felelősségű Társaság
EKR000479172018,,,Pécsi Tudományegyetem,15329798202,Nem,Nem,U - Egyéb típus:,KL - Egészségügy,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Intraoperatív neuromonitor beszerzése,Árubeszerzés,10198300.0,HUF,33195000-3,33195000-3,HU231,Igen,Nem,Igen,Nem,Igen,,2018-12-18,2.0,Nem,UniCorp Biotech Kft.,"12582800243,HU12582800",HUN_1126_Budapest_Tóth Lőrinc Utca 41 ,Nem,15600000.0,HUF,10198300.0,HUF,Nem,,,Nem,Nem,Nincs adat,24414/2018,,2019-04-10,Tájékoztató az eljárás eredményéről,-113 days,986,Pécsi Tudományegyetem,UniCorp Biotech Kft.
EKR000023942020,,,Médiaszolgáltatás - támogató és Vagyonkezelő Alap,18091715444,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Az MTVA részére McAffe SIEM licencek beszerzése,Árubeszerzés,64947600.0,HUF,48710000-8,72250000-2|48710000-8,HU110,Nem,Nem,Igen,Nem,Igen,,2020-03-16,1.0,Nem,T-Systems Magyarország Zártkörűen Működő Részvénytársaság,"12928099244,HU12928099,01-10-044852",HUN_1097_Budapest_Könyves Kálmán Körút 36.,Igen,,HUF,64947600.0,HUF,Nem,,,Nem,Nem,Nincs adat,5106/2020,2020/S 060-143455,2020-03-26,Tájékoztató az eljárás eredményéről,-10 days,1079,Médiaszolgáltatás - támogató és Vagyonkezelő Alap,T-Systems Magyarország Zártkörűen Működő Részvénytársaság
EKR000032782020,1,Ajtó pneumatikus alkatrészeinek szállítása,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,Ajtó pneumatikus alkatrészeinek szállítása,Árubeszerzés,66796596.0,HUF,42131100-7,42131100-7,HU110,Igen,Nem,Igen,Nem,Igen,,2020-06-15,1.0,Nem,PRIM-VOL TRADE Ipari Kereskedelmi és Szolgáltató Kft.,"12534773209,HU12534773",HUN_4030_Debrecen_Ozmán utca   3,Igen,70400000.0,HUF,66796596.0,HUF,Nem,,,Nem,Nem,Nincs adat,10761/2020,2020/S 120-293175,2020-06-24,Tájékoztató az eljárás eredményéről,-9 days,1143,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,PRIM-VOL TRADE Ipari Kereskedelmi és Szolgáltató Kft.
EKR000033022020,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,N - Közszolgáltató,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Szilikon gumikönyökök és fém könyökcsövek beszerz.,Árubeszerzés,8312212.0,HUF,34320000-6,34320000-6,HU110,Igen,Nem,Igen,Nem,Igen,,2020-07-13,2.0,Nem,PRIM-VOL TRADE Ipari Kereskedelmi és Szolgáltató Kft.,"12534773209,HU12534773",HUN_4030_Debrecen_Ozmán utca   3,Igen,17800000.0,HUF,8312212.0,HUF,Nem,,,Nem,Nem,Nincs adat,12923/2020,,2020-07-19,Tájékoztató az eljárás eredményéről,-6 days,1147,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,PRIM-VOL TRADE Ipari Kereskedelmi és Szolgáltató Kft.
EKR000037112020,,,Semmelweis Egyetem,15329808242,Nem,Nem,U - Egyéb típus:,KL - Oktatás,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Hibrid inkubátorok beszerzése,Árubeszerzés,31750000.0,HUF,33152000-0,33152000-0,HU110,Igen,Nem,Igen,Nem,Igen,,2020-05-25,1.0,Nem,Aladdin Medical Kereskedelmi és Szolgáltató Kft.,"10252246218,HU10252246,18-09-008689",HUN_9700_Szombathely_Paragvári utca  15.,Igen,,HUF,31750000.0,HUF,Nem,,,Nem,Nem,Nincs adat,9570/2020,,2020-06-03,Tájékoztató az eljárás eredményéről,-9 days,1182,Semmelweis Egyetem,Aladdin Medical Kereskedelmi és Szolgáltató Kft.
EKR000037422020,,,Készenléti Rendőrség,15720199251,Nem,Nem,N - Regionális/helyi szintű,KL - Közrend és biztonság,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Tűszerész manipulátor teleszkópos kar beszerzése,Árubeszerzés,22968000.0,HUF,31640000-4,31640000-4,HU110,Igen,Nem,Igen,Nem,Igen,,2020-05-19,2.0,Nem,Reintex Kereskedelmi és Szolgáltató Kft,"11501457216,HU11501457",HUN_5000_Szolnok_Thököly Út 85,Igen,22875600.0,HUF,22968000.0,HUF,Nem,,,Nem,Nem,Nincs adat,9318/2020,,2020-05-27,Tájékoztató az eljárás eredményéről,-8 days,1186,Készenléti Rendőrség,Reintex Kereskedelmi és Szolgáltató Kft
EKR000040592020,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,Üzemanyagtartály beszerzés gumikerekes járművekhez,Árubeszerzés,39368248.0,HUF,34211100-9,34211100-9,HU11,Igen,Nem,Igen,Nem,Igen,,2020-07-02,3.0,Nem,Busz I. Ipari és Kereskedelmi Korlátolt Felelősségű Társaság,"12039917242,HU12039917",HUN_1172_Budapest_Lokátor Utca 4,Igen,,HUF,39368248.0,HUF,Nem,,,Nem,Nem,Nincs adat,12157/2020,2020/S 133-327741,2020-07-14,Tájékoztató az eljárás eredményéről,-12 days,1212,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,Busz I. Ipari és Kereskedelmi Korlátolt Felelősségű Társaság
EKR000052632020,,,Országos Vízügyi Főigazgatóság,15796019241,Nem,Nem,U - Egyéb típus:,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Kvassay vízerőtelep irányítástechnikai fejlesztése,Árubeszerzés,40650000.0,HUF,38800000-3,38800000-3|48151000-1|48215000-8|32428000-9|30232700-1|31682210-5,HU110,Igen,Nem,Igen,Igen,Igen,,2020-05-21,4.0,Nem,Reál-Gép Fővállalkozó és Kivitelező Kft,14013696243,HUN_1239_Budapest_Utca  21,Igen,,HUF,40650000.0,HUF,Igen,"Kemény Automatika Kft. (1083 Budapest, Baross u. 119/a.)","Kemény Automatika Kft. (1083 Budapest, Baross u. 119/a.; adószám:  12176986-2-42 ); M.1; M.2. ",Nem,Nem,Nincs adat,9356/2020,,2020-06-03,Tájékoztató az eljárás eredményéről,-13 days,1288,Országos Vízügyi Főigazgatóság,Reál-Gép Fővállalkozó és Kivitelező Kft
EKR000054762020,,,Pécsi Tudományegyetem,15329798202,Nem,Nem,U - Egyéb típus:,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,"Cartridge-ok, reagensek GINOP-2.3.2-15-2016-00048",Árubeszerzés,20450611.0,HUF,33696500-0,33696500-0,HU231,Nem,Nem,Igen,Igen,Igen,,2020-05-05,1.0,Nem,Bio-Techne R&D Systems Korlátolt Felelősségű Társaság,"26122241241,HU26122241",HUN_1023_Budapest_Árpád fejedelem Útja 26-28.,Igen,20450611.0,HUF,20450611.0,HUF,Nem,,,Nem,Nem,Nincs adat,8749/2020,2020/S 098-234009,2020-05-24,Tájékoztató az eljárás eredményéről,-19 days,1296,Pécsi Tudományegyetem,Bio-Techne R&D Systems Korlátolt Felelősségű Társaság
EKR000069342020,,,Budapest Közút Zártkörűen Működő Részvénytársaság,23501894244,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,C 60 B 3 RG bitumenemulzió beszerzése,Árubeszerzés,14000000.0,HUF,44113610-4,44113610-4,HU110,Igen,Nem,Igen,Nem,Igen,,2020-03-06,1.0,Nem,Bitunova Útfenntartó és Emulziógyártó Kft.,"14008850443,01 09884482",HUN_1117_Budapest_Gábor Dénes  Utca 2. infopark D épület,Nem,,HUF,14000000.0,HUF,Nem,,,Igen,Nem,Nincs adat,4934/2020,,2020-03-24,Tájékoztató az eljárás eredményéről,-18 days,1372,Budapest Közút Zártkörűen Működő Részvénytársaság,Bitunova Útfenntartó és Emulziógyártó Kft.
EKR000090302020,,,Debreceni Egyetem,15329750409,Nem,Nem,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,DEK-882 1 db keménységmérő eszköz beszerzése,Árubeszerzés,6322210.0,HUF,38000000-5,38000000-5,HU321,Igen,Nem,Igen,Igen,Igen,,2020-07-06,2.0,Nem,Multilab Kalibráló és Kereskedelmi Kft,"13673730242,HU13673730",HUN_1163_Budapest_Zalavár Utca 4,Igen,,HUF,6322210.0,HUF,Nem,,,Nem,Nem,Nincs adat,12440/2020,2020/S 136-334682,2020-07-20,Tájékoztató az eljárás eredményéről,-14 days,1439,Debreceni Egyetem,Multilab Kalibráló és Kereskedelmi Kft
EKR000105662020,1|1,8 csoport egyszerű és átszelési kitérő beszerzése|Közvetlen megrendelés 1 - 8 csoport kitérő,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság ,EKRSZ_35803375,Nem,Nem,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Hirdetménnyel induló tárgyalásos eljárás,8 csoport egyszerű és átszelési kitérő beszerzése,Árubeszerzés,498000000.0,HUF,34946000-0,34946000-0,HU11,Nem,Nem,Igen,Nem,Igen,,2021-03-24,1.0,Nem,VAMAV Vasúti Berendezések Korlátolt Felelősségű Társaság,10655436-2-10,HUN_3200_Gyöngös_Gyártelep utca 1.,Nem,,HUF,498000000.0,HUF,Nem,,,Nem,Nem,Nincs adat,5862/2021,2021/S 071-182094,2021-04-13,Együttes tájékoztató eljárások eredményéről,-20 days,1547,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,VAMAV Vasúti Berendezések Korlátolt Felelősségű Társaság
